EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
ZOTA IN Equity,ZOTA HEALTH CARE,47875029051.10,47875029051.10,1579.10,,97.26,2929748000.00
LXCHEM IN Equity,LAXMI ORGANIC IN,47855123230.91,47855123230.91,172.67,42.11,-28.38,29854420000.00
HNIFTY IN Equity,HDFC NIFTY 50 ET,47822350960.00,47822350960.00,292.96,,11.94,
ZAGGLE IN Equity,ZAGGLE PREPAID O,47306924588.95,47306924588.95,351.85,50.34,-32.24,13037570000.00
JSFB IN Equity,JANA SMALL FINAN,46692061980.80,46692061980.80,443.60,,12.32,54856549000.00
SECIS IN Equity,SIS LTD,46396277702.60,46396277702.60,329.05,401.28,-8.83,130860410000.00
CARE IN Equity,CARE RATINGS LTD,46358640489.80,46358640489.80,1544.60,33.66,13.24,4023175000.00
PTCIN IN Equity,PTC INDIA LTD,46319382070.08,46319382070.08,156.48,5.96,15.12,161580300000.00
TVSSCS IN Equity,TVS SUPPLY CHAIN,46266549431.49,46266549431.49,104.87,,-41.36,99957200000.00
NDRINVIT IN Equity,NDR INVIT TRUST,46007500000.00,46007500000.00,119.50,,20.36,1703220000.00
GOLDIETF IN Equity,ICICI PRUDENTIAL,45797436480.00,45797436480.00,110.64,,67.53,
SUNF IN Equity,SUNFLAG IRON,45775739792.00,45775739792.00,254.00,28.25,1.33,35355900000.00
RPE IN Equity,RAGHAV PRODUCTIV,45765041728.00,45765041728.00,996.80,123.83,39.82,1974679000.00
REFX IN Equity,REFEX INDUSTRIES,45401847622.25,45401847622.25,331.75,25.59,-30.91,24600773000.00
SCTE IN Equity,SHILCHAR TECHNOL,45393569580.00,45393569580.00,3967.90,30.91,-22.34,6231475000.00
SWE IN Equity,SWARAJ ENGINES,45348920071.20,45348920071.20,3733.20,27.32,29.66,16739636000.00
DBCL IN Equity,DB CORP LTD,45273558678.00,45273558678.00,254.00,12.20,-14.45,22283770000.00
BNRI IN Equity,BANNARI AMMAN,45142920000.00,45142920000.00,3600.00,43.13,-1.59,17929740000.00
ASBL IN Equity,ASHOKA BUILDCON,45078534185.86,45078534185.86,160.58,2.66,-48.39,89738888000.00
ENTERO IN Equity,ENTERO HEALTHCAR,44981606670.60,44981606670.60,1033.80,47.42,-27.41,50957800000.00
PACD IN Equity,PACE DIGITEK LTD,44843113184.25,44843113184.25,207.75,,,24387800000.00
WESL IN Equity,WEBSOL ENERGY SY,44658535760.70,44658535760.70,105.81,28.86,-36.14,5754580000.00
HTFL IN Equity,HERITAGE FOODS L,44579198400.00,44579198400.00,480.40,23.68,-0.33,41345950000.00
EMIL IN Equity,ELECTRONICS MART,44576991565.32,44576991565.32,115.86,27.85,-29.50,69648260000.00
SHOP IN Equity,SHOPPERS STOP,44424728762.25,44424728762.25,403.45,241.59,-33.07,48611700000.00
TARC IN Equity,TARC LTD,44311665663.60,44311665663.60,150.16,,-14.95,336886000.00
IBULLSLT IN Equity,INDIABULLS LTD,44209748264.76,44209748264.76,19.02,,18.87,0.00
NIRL IN Equity,NIRLON LTD,44067721560.00,44067721560.00,489.00,20.20,2.05,6320157000.00
TVVL IN Equity,TECHNVISION VENT,44009712500.00,44009712500.00,7013.50,38963.89,99.18,2278086000.00
ORCP IN Equity,ORCHID PHARMA LT,44008967408.50,44008967408.50,867.70,44.16,-51.98,9101868000.00
SJET IN Equity,SPICEJET LTD,43974646616.37,43974646616.37,31.11,52.73,-43.84,50737150000.00
ORIANA IN Equity,ORIANA POWER LTD,43859901232.50,43859901232.50,2158.55,27.14,-4.66,9871660000.00
ANUP IN Equity,ANUP ENGINEERING,43756734330.40,43756734330.40,2184.40,36.87,-37.13,7327860000.00
MFANGETF IN Equity,MA-NYSE-FANG-ETF,43597151644.00,43597151644.00,176.29,,29.33,
NFL IN Equity,NATL FERTILIZERS,43563361920.00,43563361920.00,88.80,23.68,-22.12,195813200000.00
IPMC IN Equity,INDRAPRASTHA MED,43397998200.00,43397998200.00,473.40,26.96,-8.61,13563600000.00
SGMART IN Equity,SG MART LTD,43287300000.00,43287300000.00,343.55,37.22,-7.05,58561700000.00
GRV IN Equity,GREAVES COTTON,43139116262.95,43139116262.95,185.27,73.81,-32.57,29184400000.00
PWI IN Equity,PRECISION WIRES,42912766391.25,42912766391.25,238.35,47.29,41.31,40148314000.00
ROUTE IN Equity,ROUTE MOBILE LTD,42873004430.10,42873004430.10,680.55,13.43,-50.53,45756200000.00
VST IN Equity,VST INDS LTD,42838974464.00,42838974464.00,252.20,14.75,-22.48,13977618000.00
INDIQUBE IN Equity,INDIQUBE SPACES,42833946967.72,42833946967.72,203.96,,,10592860000.00
E2E IN Equity,E2E NETWORKS LTD,42690268058.20,42690268058.20,2123.80,75.10,-47.53,1639608000.00
ELSC IN Equity,ELECTROSTEEL CAS,42654736779.00,42654736779.00,69.00,6.01,-49.76,72928373000.00
JKIL IN Equity,J.KUMAR INFRAPRO,42629946080.40,42629946080.40,563.40,10.90,-25.70,56934877000.00
HAWK IN Equity,HAWKINS COOKERS,42297232185.00,42297232185.00,7999.00,36.88,-10.55,10930616000.00
GLDM IN Equity,GOLDIAM INTL LTD,42236919548.20,42236919548.20,374.05,34.10,-2.60,7809782000.00
KNRC IN Equity,KNR CONSTRUCTION,41912392438.00,41912392438.00,149.03,4.18,-56.89,32159274000.00
BRSN IN Equity,BHARAT RASAYAN,41893411976.00,41893411976.00,10082.00,29.73,0.37,11730031000.00
HUB IN Equity,HUBTOWN LTD,41706038218.50,41706038218.50,298.50,69.00,10.93,4084735000.00
NORTHARC IN Equity,NORTHERN ARC CAP,41571028287.50,41571028287.50,257.30,12.81,18.54,23416103000.00
CHEMPLAS IN Equity,CHEMPLAST SANMAR,41440519345.40,41440519345.40,262.10,,-47.60,43460700000.00
MVKAGRO IN Equity,MVK AGRO FOOD PR,41362694100.00,41362694100.00,819.00,135.82,1912.29,1497321000.00
GTB IN Equity,GUJARAT THEMIS,41118042747.75,41118042747.75,377.35,84.23,23.76,1507999000.00
CEIGALL IN Equity,CEIGALL INDIA LT,40574054175.51,40574054175.51,232.91,13.80,-31.46,34367320000.00
BONDADA IN Equity,BONDADA ENGINEER,40558652123.25,40558652123.25,363.45,35.18,-40.07,15713768000.00
INNOVACA IN Equity,INNOVA CAPTAB LT,40532417210.70,40532417210.70,708.30,31.61,-36.50,12436760000.00
GOPAL IN Equity,GOPAL SNACKS LTD,40165781471.20,40165781471.20,322.30,212.04,-12.89,14586390000.00
COLAB IN Equity,COLAB PLATFORMS,40116600000.00,40116600000.00,196.65,1401.20,1148.05,690294300.00
JCHAC IN Equity,JOHNSON CONTROLS,40063048485.60,40063048485.60,1473.40,68.10,-14.77,27280800000.00
SAMHI IN Equity,SAMHI HOTELS LTD,40056010366.32,40056010366.32,181.08,46.67,-9.82,11300070000.00
HEIM IN Equity,HEIDELBERGCEMENT,39985884318.20,39985884318.20,176.45,37.46,-12.29,21388800000.00
UTBANETF IN Equity,UTI NIFTY BANK E,39928448599.60,39928448599.60,61.58,,18.22,
KTG IN Equity,KITEX GARMENTS,39900000000.00,39900000000.00,200.00,28.78,-9.84,9095843000.00
TANF IN Equity,TANFAC INDS LTD,39899002500.00,39899002500.00,3999.90,45.26,34.17,5505535000.00
JTEKT IN Equity,JTEKT INDIA LTD,39808454845.50,39808454845.50,143.55,49.57,-8.89,23806911000.00
POCL IN Equity,PONDY OXIDES,39673816083.70,39673816083.70,1300.30,59.02,54.15,20569053000.00
INTERARC IN Equity,INTERARCH BUILDI,39402114252.90,39402114252.90,2349.30,36.26,34.22,14538254000.00
VGM IN Equity,VAIBHAV GLOBAL L,39220773099.30,39220773099.30,234.90,25.39,-13.24,33795768000.00
AVTS IN Equity,AVANTEL LTD,39212839264.80,39212839264.80,147.99,67.12,1.76,2491262000.00
MOSCHIP IN Equity,MOSCHIP TECHNOLO,39062416048.55,39062416048.55,203.05,115.37,-0.83,4668419000.00
AREAL IN Equity,AJMERA REALTY,38843525397.00,38843525397.00,986.90,30.84,-8.08,7379549000.00
SPICELOU IN Equity,SPICE LOUNGE FOO,38780930238.00,38780930238.00,55.63,69.54,511.32,1052704000.00
SVLS IN Equity,SUVEN LIFE SCIEN,38711560547.26,38711560547.26,170.18,,33.04,66558000.00
PARAG IN Equity,PARAG MILK FOODS,38621319319.80,38621319319.80,308.70,30.96,64.63,33266700000.00
RMKY IN Equity,RAMKY INFRASTRUC,38605447598.90,38605447598.90,557.90,19.55,-12.02,20445380000.00
VDI IN Equity,VADILAL INDS LTD,38383012200.00,38383012200.00,5340.00,25.53,34.31,12349700000.00
ORIENTEL IN Equity,ORIENT ELECTRIC,38326916437.37,38326916437.37,179.63,46.06,-22.38,30936800000.00
SANATHAN IN Equity,SANATHAN TEXTILE,38125313450.30,38125313450.30,451.70,23.76,23.36,29986100000.00
ISCITRUS IN Equity,INTELLIGENT SUPP,38100000000.00,38100000000.00,125.00,,22.02,5071100000.00
HEMIPROP IN Equity,HEMISPHERE PROPE,37956300000.00,37956300000.00,133.18,,-23.42,9064000.00
GALK IN Equity,GUJARAT ALKALIES,37952204390.40,37952204390.40,516.80,,-29.60,39595021000.00
GLIN IN Equity,GOODLUCK INDIA L,37945081874.40,37945081874.40,1141.60,22.53,23.30,38970982000.00
ARSSBL IN Equity,ANAND RATHI SHAR,37901732312.50,37901732312.50,604.25,,,8456980000.00
ARTMSL IN Equity,ARTEMIS MEDICARE,37571604935.00,37571604935.00,269.90,50.26,-14.11,9348847000.00
MNRT IN Equity,MARATHON NEXTGEN,37357724538.60,37357724538.60,554.10,15.21,-5.11,5801353000.00
WPI IN Equity,WPIL LTD,37290711440.00,37290711440.00,381.80,28.30,-47.71,17937127000.00
63MOONS IN Equity,63 MOONS TECHNOL,37187683285.85,37187683285.85,807.05,,-10.65,468204000.00
BOROLTD IN Equity,BOROSIL LTD,37117817929.60,37117817929.60,310.40,49.43,-23.28,11077652000.00
BNAGROCH IN Equity,BN AGROCHEM LTD,37041278697.85,37041278697.85,378.85,40.52,142.85,2994064000.00
ARTD IN Equity,AARTI DRUGS LTD,36964350000.00,36964350000.00,405.00,21.98,-11.82,23870303000.00
RBA IN Equity,RESTAURANT BRAND,36626674403.00,36626674403.00,62.90,,-25.90,26765080000.00
KIRI IN Equity,KIRI INDUSTRIES,36604754556.90,36604754556.90,609.85,12.27,-1.35,7289878000.00
MCF IN Equity,MANGALORE CHEM,36591552562.50,36591552562.50,,25.45,101.98,33318959000.00
BLA IN Equity,BALAJI AMINES,36490006200.00,36490006200.00,1126.20,23.16,-36.56,13970844000.00
STYRENIX IN Equity,STYRENIX PERFORM,36433897875.00,36433897875.00,2071.80,15.49,-28.14,29824200000.00
RPGL IN Equity,RPG LIFE SCIENCE,36402372015.00,36402372015.00,2201.00,19.86,1.76,6534300000.00
SYIL IN Equity,STYLAM INDUSTRIE,36395958850.00,36395958850.00,2147.50,29.86,-2.86,10250895000.00
HCC IN Equity,HINDUSTAN CONST,36207575623.80,36207575623.80,19.90,38.19,-37.51,56033700000.00
SG IN Equity,SHANTHI GEARS,36060286702.65,36060286702.65,470.05,37.54,-6.36,5990100000.00
TRUALT IN Equity,TRUALT BIOENERGY,36024663479.10,36024663479.10,420.10,,,16733497750.00
GW IN Equity,GRAUER & WEIL,35950997835.00,35950997835.00,79.29,22.85,-23.36,11215257000.00
EBGNG IN Equity,GNG ELECTRONICS,35936430158.40,35936430158.40,315.20,,,14111100000.00
MGL IN Equity,MIDWEST GOLD LTD,35802526204.90,35802526204.90,3240.65,,2804.59,7758000.00
SENORES IN Equity,SENORES PHARMACE,35772124479.00,35772124479.00,776.75,48.19,36.61,3828000000.00
MBAP IN Equity,MADHYA BHARAT AG,35664164580.00,35664164580.00,407.00,62.04,77.60,10591670000.00
CF IN Equity,GUFIC BIOSCIENCE,35640402632.40,35640402632.40,355.40,51.14,-21.92,8198060000.00
SEITINVI IN Equity,SUSTAINABLE ENER,35640000000.00,35640000000.00,,25.64,,7218980000.00
SINDHUTR IN Equity,SINDHU TRADE LIN,35587716242.40,35587716242.40,23.08,,4.96,10978991000.00
EIEL IN Equity,ENVIRO INFRA ENG,35585196900.00,35585196900.00,202.73,17.24,-35.00,10660560000.00
DHANI IN Equity,DHANI SERVICES L,35508853427.73,35508853427.73,,,-45.62,4868832000.00
MPS IN Equity,MPS LTD,35508252852.80,35508252852.80,2075.80,23.64,8.56,7268885000.00
EUROPRAT IN Equity,EURO PRATIK SALE,35473620000.00,35473620000.00,347.10,46.10,,2842270000.00
MTLM IN Equity,GREENPLY INDUS,35403705382.50,35403705382.50,283.50,38.36,-7.67,24875814000.00
BAJAJCON IN Equity,BAJAJ CONSUMER C,35267270956.50,35267270956.50,268.95,29.78,36.22,9497469000.00
TIMX IN Equity,TIMEX GROUP IND,35266882500.00,35266882500.00,349.35,112.24,80.50,5381000000.00
AWFIS IN Equity,AWFIS SPACE SOLU,35218202692.50,35218202692.50,492.50,50.51,-32.05,12075350000.00
RINDL IN Equity,RAIN INDUSTRIES,35208665677.72,35208665677.72,104.68,,-37.77,152672700000.00
WONH IN Equity,WONDERLA HLDY L,35186950576.80,35186950576.80,554.80,29.81,-23.83,4585708000.00
SRTY IN Equity,TVS SRICHAKRA,35158110780.00,35158110780.00,4591.60,170.56,31.45,32328800000.00
DPAL IN Equity,D P ABHUSHAN LTD,34981504608.00,34981504608.00,1532.40,55.12,2.27,23399112000.00
MEDIASSI IN Equity,MEDI ASSIST HEAL,34948622683.10,34948622683.10,470.05,36.38,-18.48,7233210000.00
DCAL IN Equity,DISHMAN CARBOGEN,34931273566.00,34931273566.00,222.80,1060.95,-17.63,27115000000.00
NACLIND IN Equity,NACL INDUSTRIES,34855440522.63,34855440522.63,172.97,,158.47,12134300000.00
INDOSTAR IN Equity,INDOSTAR CAPITAL,34826329738.64,34826329738.64,254.74,65.99,-5.56,14096588000.00
SISLTD IN Equity,SHARE INDIA SECU,34815141823.00,34815141823.00,159.10,1.06,-47.88,14485684000.00
KTI IN Equity,KOTHARI INDUS,34814302618.50,34814302618.50,325.70,12.83,276.53,136352000.00
LUX IN Equity,LUX INDUSTRIES L,34783913412.70,34783913412.70,1156.70,21.04,-42.40,25702500000.00
SABTNL IN Equity,SRI ADHIKARI BRO,34649445273.60,34649445273.60,1365.60,,-13.15,17958000.00
UFLX IN Equity,UFLEX LTD,34643460408.50,34643460408.50,479.75,24.34,-7.31,148417002000.00
JUBLCPL IN Equity,JUBILANT AGRI AN,34581293413.80,34581293413.80,2282.70,38.77,,15356860000.00
ADVENZY IN Equity,ADVANCED ENZYME,34238408120.00,34238408120.00,305.90,26.10,-10.66,6365070000.00
NIFTYIET IN Equity,ICICI PRUDENTIAL,34142210084.00,34142210084.00,294.92,,12.09,
KKIL IN Equity,KIRLOSKAR INDUST,34116383801.20,34116383801.20,3248.20,22.28,-26.32,65662900000.00
PSPPL IN Equity,PSP PROJECTS LTD,34103832797.30,34103832797.30,860.30,60.08,32.52,25121257000.00
FSC IN Equity,FOSECO INDIA LTD,33956802503.00,33956802503.00,5317.00,46.50,32.56,5247839000.00
HARSHA IN Equity,HARSHA ENGINEERS,33941242344.00,33941242344.00,372.80,38.00,-24.88,14076500000.00
CYIENTDL IN Equity,CYIENT DLM LTD,33884628872.20,33884628872.20,426.95,49.76,-36.24,15196260000.00
AGIIL IN Equity,AGI INFRA LTD,33809772600.00,33809772600.00,276.75,50.72,55.56,3248732000.00
PAISALO IN Equity,PAISALO DIGITAL,33725071087.92,33725071087.92,37.08,16.63,-25.62,7455947000.00
NINV IN Equity,NALWA SONS INVES,33590506020.00,33590506020.00,6540.00,71.91,-15.64,1252241000.00
ORCMNT IN Equity,ORIENT CEMENT LT,33586525439.31,33586525439.31,163.47,36.73,-52.25,27088337000.00
VCL IN Equity,VISHNU CHEMICALS,33455696148.00,33455696148.00,497.00,25.85,24.80,14414049000.00
ROSSARI IN Equity,ROSSARI BIOTECH,33408809039.50,33408809039.50,603.25,24.46,-22.32,20802940000.00
KS IN Equity,KALYANI STEELS,33309467433.00,33309467433.00,763.05,13.00,-33.83,19819040000.00
KPDL IN Equity,KOLTE-PATIL,33255035250.00,33255035250.00,375.00,26.75,4.85,17173800000.00
MAN IN Equity,MAN INDUSTRIES,33217988517.35,33217988517.35,442.85,18.72,35.18,34701857000.00
SANDHAR IN Equity,SANDHAR TECHNOLO,33038679621.20,33038679621.20,548.90,23.33,8.80,38383284000.00
MSTCLTD IN Equity,MSTC LTD,32929600000.00,32929600000.00,467.75,8.09,-26.33,2801441000.00
BSLNIFT IN Equity,ADITYA BIRLA SL,32883236170.00,32883236170.00,30.43,,12.00,
KMEW IN Equity,KNOWLEDGE MARINE,32755112600.00,32755112600.00,3032.60,,34.24,1990013500.00
BIJL IN Equity,BHARAT BIJLEE,32641149936.00,32641149936.00,2887.80,24.42,-22.13,18884800000.00
CTE IN Equity,CENTUM ELEC LTD,32580154035.00,32580154035.00,2210.90,1169.79,6.72,11308640000.00
TATVA IN Equity,TATVA CHINTAN PH,32449458696.00,32449458696.00,1387.20,568.52,56.11,3827140000.00
DDEVPLAS IN Equity,DDEV PLASTIKS IN,32420272450.40,32420272450.40,287.20,16.02,4.83,26033237000.00
RAYMONDR IN Equity,RAYMOND REALTY L,32351504579.45,32351504579.45,485.95,,,34801000.00
NIFTY1 IN Equity,KOTAK NIFTY 50,32001040188.00,32001040188.00,288.78,,12.08,
CPML IN Equity,CITY PULSE MULTI,31855066175.95,31855066175.95,2987.15,2370.75,208.16,28131000.00
JINW IN Equity,JINDAL WORLDWIDE,31672197180.00,31672197180.00,31.59,41.57,-60.13,22689977000.00
PROTEAN IN Equity,PROTEAN EGOV TEC,31656506628.15,31656506628.15,779.55,34.15,-59.26,8326500000.00
NELI IN Equity,NAVNEET EDUCATIO,31648969805.67,31648969805.67,143.07,4.21,-0.79,17857200000.00
MUTHOOTM IN Equity,MUTHOOT MICROFIN,31520593498.88,31520593498.88,184.88,,5.78,25616930000.00
UVC IN Equity,UNIVERSAL CABLES,31477384412.25,31477384412.25,907.25,35.22,11.51,23798408000.00
UL IN Equity,UNICHEM LABS LTD,31369281912.50,31369281912.50,445.55,22.81,-40.09,20644800000.00
CIANAGRO IN Equity,CIAN AGRO INDUST,31328810157.75,31328810157.75,1119.45,76.10,115.69,10289972000.00
MAHLOG IN Equity,MAHINDRA LOGISTI,31197311518.05,31197311518.05,314.55,,-8.73,64735700000.00
UTIGOL IN Equity,UTI-GOLD ETF,31137254842.05,31137254842.05,108.50,,67.83,
KEKC IN Equity,KEWAL KIRAN CLOT,31099149610.25,31099149610.25,504.65,23.93,-13.17,11311300000.00
CARRARO IN Equity,CARRARO INDIA LT,31046624901.80,31046624901.80,546.10,35.23,-13.50,18075540000.00
BLCL IN Equity,BALMER LAWRIE,31008127395.18,31008127395.18,181.33,11.66,-11.26,23459393000.00
ROADSTAR IN Equity,ROADSTAR INFRA I,30972445724.00,30972445724.00,68.00,,,9940480000.00
SGLTL IN Equity,STANDARD GLASS L,30889288944.08,30889288944.08,154.84,48.01,,6136613000.00
HLEGLAS IN Equity,HLE GLASCOAT LTD,30780904932.00,30780904932.00,450.90,65.89,22.42,10275868000.00
JI IN Equity,JAIN IRRIGATION,30726709925.69,30726709925.69,42.23,86.18,-37.89,56770440000.00
EPACKPEB IN Equity,EPACK PREFAB TEC,30562520087.25,30562520087.25,304.25,,,12962342000.00
ASFI IN Equity,ASHIANA HOUSING,30368559299.70,30368559299.70,302.10,42.00,-12.26,8099400000.00
META IN Equity,STRING METAVERSE,30336438631.05,30336438631.05,260.55,11056.55,966.89,123544000.00
RW IN Equity,RAYMOND LTD,30311019724.30,30311019724.30,455.30,65.04,-19.84,19468400000.00
FLAIR IN Equity,FLAIR WRITING IN,30285361868.30,30285361868.30,287.35,25.32,1.50,10690930000.00
ARKADE IN Equity,ARKADE DEVELOPER,30283592568.87,30283592568.87,163.11,19.30,-5.58,6830962000.00
BCHI IN Equity,BHAGIRADHA CHEM,30251796364.00,30251796364.00,233.30,204.65,-22.18,4404741000.00
SIYA IN Equity,SIYARAM SILK MIL,30216478608.00,30216478608.00,666.00,15.33,-21.67,22181462000.00
SSW IN Equity,STEEL STRIPS WHL,30125200255.50,30125200255.50,191.66,15.41,-2.40,44289983000.00
KRISHANA IN Equity,KRISHANA PHOSCHE,30112807980.00,30112807980.00,497.30,34.80,148.44,13582389000.00
QUESS IN Equity,QUESS CORP LTD,30106291648.72,30106291648.72,201.83,65.53,-35.85,149671990000.00
PITTIENG IN Equity,PITTI ENGINEERIN,30015557674.20,30015557674.20,797.15,23.92,-39.49,17045671000.00
TFCI IN Equity,TOURISM FIN CORP,30005554924.40,30005554924.40,64.81,28.91,97.56,2516280000.00
HKCI IN Equity,HIKAL LTD,29979344355.00,29979344355.00,243.14,33.04,-37.45,18435000000.00
FISCHER IN Equity,FISCHER MEDICAL,29961414714.00,29961414714.00,46.20,2440.30,-34.38,1106987000.00
GRFL IN Equity,GATEWAY DISTRIPA,29938658653.12,29938658653.12,59.92,8.08,-22.93,16805553000.00
HNBANK IN Equity,HDFC NIF BAN ETF,29774495790.00,29774495790.00,61.23,,17.89,
ROLEXRIN IN Equity,ROLEX RINGS LTD,29725160048.00,29725160048.00,109.15,15.43,-40.66,11548020000.00
SMSPH IN Equity,SMS PHARMACEUTIC,29687693510.00,29687693510.00,317.00,40.65,32.91,7827481000.00
SEDIL IN Equity,SHANTI EDUCATION,29398600000.00,29398600000.00,182.60,415.00,38.18,589897000.00
KEL IN Equity,KILBURN ENGINEER,29378732596.70,29378732596.70,571.15,46.66,19.44,3331454000.00
GREENP IN Equity,GREENPANEL INDUS,29345961897.45,29345961897.45,239.31,40.70,-36.66,13938789000.00
FTXC IN Equity,FINEOTEX CHEMICA,29113530369.00,29113530369.00,25.41,26.66,-22.55,5318661000.00
OMDC IN Equity,ORISSA MINERALS,28899600000.00,28899600000.00,4816.60,,-32.19,646159000.00
GKENERGY IN Equity,GK ENERGY LTD,28885235023.72,28885235023.72,142.42,,,10948270000.00
KDDL IN Equity,KDDL LTD,28875019656.00,28875019656.00,2347.70,30.79,-21.51,16478768000.00
GRMO IN Equity,GRM OVERSEAS LTD,28850778000.00,28850778000.00,470.25,46.56,133.07,13481928000.00
BGRL IN Equity,BGR ENERGY SYS,28778030128.00,28778030128.00,398.80,,292.52,4458200000.00
ABSLBAN IN Equity,ADITYA BIRLA SL,28771620384.00,28771620384.00,60.96,,18.12,
PSL IN Equity,PENNAR INDUSTRIE,28729562097.73,28729562097.73,206.83,23.40,6.89,31235500000.00
NPST IN Equity,NETWORK PEOPLE S,28687514275.00,28687514275.00,1479.10,63.45,-44.40,1732077000.00
PRINCPIP IN Equity,PRINCE PIPES & F,28662959730.75,28662959730.75,259.25,66.47,-39.52,25134100000.00
MARINE IN Equity,MARINE ELECTRICA,28571046199.20,28571046199.20,207.12,73.19,-19.58,7670953000.00
PARKHOTE IN Equity,APEEJAY SURRENDR,28530270432.66,28530270432.66,133.71,34.11,-27.24,6151000000.00
BRIGHOTE IN Equity,BRIGADE HOTEL VE,28480595523.70,28480595523.70,74.98,,,4682500000.00
RRW IN Equity,RAM RATNA WIRES,28471466960.00,28471466960.00,610.00,40.50,7.65,36767493000.00
PRE IN Equity,PREMIER EXPLOS,28463864692.75,28463864692.75,529.45,99.15,1.48,4174523000.00
NOCIL IN Equity,NOCIL LTD,28394238100.00,28394238100.00,170.00,27.55,-29.49,13716300000.00
INA IN Equity,INSOLATION ENERG,28292041200.00,28292041200.00,128.40,21.58,-65.47,13337597000.00
CFIN IN Equity,CAMLIN FINE SCIE,28223382060.48,28223382060.48,150.14,51.95,17.31,16355990000.00
VEEDOL IN Equity,VEEDOL CORPORATI,28204228800.00,28204228800.00,1618.70,16.30,1.63,19704900000.00
LSIL IN Equity,LS INDUSTRIES LT,28172292653.00,28172292653.00,33.19,,-68.67,2911000.00
PSUBBE IN Equity,NIPPON INDIA ETF,28090437376.00,28090437376.00,93.44,,28.58,
GBSL IN Equity,GLOBUS SPIRITS L,28079792272.80,28079792272.80,969.20,119.99,11.88,25371344000.00
UTKARSHB IN Equity,UTKARSH SMALL FI,28045293259.84,28045293259.84,15.76,,-45.38,43647603000.00
SAMBHV IN Equity,SAMBHV STEEL TUB,28005572612.16,28005572612.16,95.04,39.93,,15081890000.00
EASEMYTR IN Equity,EASY TRIP PLANNE,28003769547.60,28003769547.60,7.70,25.67,-51.45,5873240000.00
NEOGEN IN Equity,NEOGEN CHEMICALS,27824751567.80,27824751567.80,1054.70,79.90,-52.70,7577200000.00
TCPL IN Equity,TCPL PACKAGING L,27792310000.00,27792310000.00,3054.10,19.43,-3.56,17690260000.00
ARVSMART IN Equity,ARVIND SMARTSPAC,27733468852.35,27733468852.35,604.65,24.90,-29.72,7067764000.00
SUNDROP IN Equity,SUNDROP BRANDS L,27697762741.75,27697762741.75,734.75,,-20.49,8940490000.00
JASH IN Equity,JASH ENGINEERING,27687561150.00,27687561150.00,441.20,31.48,-21.63,7351876000.00
DEEPIND IN Equity,DEEP INDUSTRIES,27667200000.00,27667200000.00,432.30,,-20.57,5761301000.00
BD IN Equity,BOMBAY DYEING,27564147754.00,27564147754.00,133.46,5.62,-28.71,15680900000.00
ATXL IN Equity,AUTO AXLES LTD,27546108030.00,27546108030.00,1822.80,17.71,4.64,20775380000.00
